"Available on Mobile Only","Available on Mobile Only"
"If enabled, this coupon can be applied only from mobile app requests.","If enabled, this coupon can be applied only from mobile app requests."
"Mobile Coupons","Mobile Coupons"
"Coupon with code ""%1"" does not exist.","Coupon with code ""%1"" does not exist."
"Could not mark coupon ""%1"" as mobile-only.","Could not mark coupon ""%1"" as mobile-only."
"Could not remove mobile-only flag from coupon ""%1"".","Could not remove mobile-only flag from coupon ""%1""."
"This coupon can be applied only from the mobile application.","This coupon can be applied only from the mobile application."

